Timestamp,Location_X,Location_Y,Location_Z,Velocity_X,Velocity_Y,Velocity_Z,Throttle,Brake,Steer,Gear,Frame_Index
1728949662.8279004,-64.64484405517578,24.471010208129883,0.0017279814928770065,-3.3436127200303645e-09,-4.432990152736238e-08,-0.0020878983195871115,0.8500000238418579,0.0,-0.10903239995241165,0,0
1728949662.8826854,-64.64484405517578,24.471010208129883,0.0017077636439353228,1.3887754057861912e-08,-1.653527803568977e-08,-0.00047896860633045435,0.8500000238418579,0.0,-0.10903239995241165,0,1
1728949662.9316957,-64.64484405517578,24.471010208129883,0.001728057861328125,7.681336455789278e-09,2.241590690843509e-09,0.0010783529141917825,0.8500000238418579,0.0,-0.10903239995241165,0,2
1728949662.9775443,-64.64484405517578,24.471010208129883,0.0017649078508839011,-2.387321629271355e-08,-8.430051678942618e-08,0.00039199827006086707,0.8500000238418579,0.0,-0.10903239995241165,0,3
1728949663.0307744,-64.64484405517578,24.471010208129883,0.0018059158464893699,7.4199038024858055e-09,4.6602824710362256e-08,0.0011736630694940686,0.8500000238418579,0.0,-0.10903239995241165,0,4
1728949663.077526,-64.64484405517578,24.471010208129883,0.001847228966653347,5.060662111588954e-09,2.1675251815622687e-08,0.000483608222566545,0.8500000238418579,0.0,-0.10903239995241165,0,5
1728949663.1333418,-64.64484405517578,24.471010208129883,0.0018734359182417393,3.4791645120435533e-09,-3.867125730749876e-09,0.0002746629761531949,0.8500000238418579,0.0,-0.10903239995241165,0,6
1728949663.179598,-64.64484405517578,24.471010208129883,0.0018961714813485742,2.3796873360737436e-09,7.868711904279735e-09,0.00017332553397864103,0.8500000238418579,0.0,-0.10903239995241165,0,7
1728949663.2333858,-64.64484405517578,24.471010208129883,0.0018930435180664062,-1.4673516623986416e-08,-3.44065327340104e-08,-0.0005042696138843894,0.8500000238418579,0.0,-0.10903239995241165,0,8
1728949663.2803664,-64.6358871459961,24.47056007385254,0.0018129348754882812,0.5115686058998108,-0.031519245356321335,0.00014598369307350367,0.8500000238418579,0.0,-0.10903239995241165,1,9
1728949663.3264277,-64.58872985839844,24.468053817749023,0.0016156005440279841,1.307944893836975,-0.08655440807342529,-0.0001715469261398539,0.8500000238418579,0.0,-0.10888814926147461,1,10
1728949663.380007,-64.52715301513672,24.464679718017578,0.0014826202532276511,1.8167051076889038,-0.12540557980537415,0.00043729780009016395,0.8500000238418579,0.0,-0.10731823742389679,1,11
1728949663.4275048,-64.39203643798828,24.456987380981445,0.0013531112344935536,2.428130865097046,-0.17222073674201965,0.00014811038272455335,0.8500000238418579,0.0,-0.10113488882780075,1,12
1728949663.4814205,-64.2924575805664,24.451086044311523,0.0013298415578901768,2.7295608520507812,-0.19818918406963348,0.00033642290509305894,0.8500000238418579,0.0,-0.09859712421894073,1,13
1728949663.528423,-64.10469818115234,24.439186096191406,0.0013283538864925504,3.1578800678253174,-0.2667514979839325,-2.8243064662092365e-05,0.8500000238418579,0.0,-0.23537807166576385,1,14
1728949663.5824428,-63.92020034790039,24.42144775390625,0.0013520813081413507,3.468071222305298,-0.4595767557621002,-0.0007577704964205623,0.8500000238418579,0.0,-0.19086918234825134,1,15
1728949663.6289222,-63.75222396850586,24.401397705078125,0.0013906860258430243,3.7296884059906006,-0.5482426881790161,-0.00012786388106178492,0.8500000238418579,0.0,-0.1850270926952362,1,16
1728949663.6834178,-63.6068115234375,24.38290786743164,0.0014204025501385331,3.9422214031219482,-0.5916930437088013,-0.0003389549092389643,0.8500000238418579,0.0,-0.16199643909931183,1,17
1728949663.7296762,-63.3464469909668,24.348268508911133,0.0014487457228824496,4.286975383758545,-0.6694406867027283,4.9071310058934614e-05,0.8500000238418579,0.0,-0.1542854905128479,1,18
1728949663.7835224,-63.18169403076172,24.325363159179688,0.0014729690738022327,4.488854885101318,-0.7131580710411072,-0.0002589797950349748,0.8500000238418579,0.0,-0.14258156716823578,1,19
1728949663.82975,-62.88567352294922,24.28291130065918,0.0014855193439871073,4.827812194824219,-0.7803746461868286,-0.00022524356609210372,0.8500000238418579,0.0,-0.12121158838272095,1,20
1728949663.8768075,-62.65616226196289,24.24875831604004,0.0015710449079051614,5.070377826690674,-0.8400064706802368,0.003477935679256916,0.8500000238418579,0.0,-0.11495139449834824,1,21
1728949663.9296265,-62.45974349975586,24.21866226196289,0.0016630553873255849,5.267964839935303,-0.8856828212738037,0.0015497064450755715,0.8500000238418579,0.0,-0.10483220219612122,1,22
1728949663.978497,-62.12514877319336,24.166208267211914,0.001735420199111104,5.46706485748291,-0.9282710552215576,0.00014971732161939144,0.8500000238418579,0.0,-0.08654560148715973,1,23
1728949664.030381,-61.90989685058594,24.13157081604004,0.0017621612641960382,5.60192346572876,-0.9721574783325195,-0.0001717519771773368,0.8500000238418579,0.0,-0.08140160888433456,1,24
1728949664.0774379,-61.55005645751953,24.07207489013672,0.0017733382992446423,5.845523357391357,-1.0350884199142456,-0.0003309535968583077,0.8500000238418579,0.0,-0.06610102951526642,1,25
1728949664.132462,-61.22429656982422,24.01546859741211,0.0017598724225535989,6.060693264007568,-1.1798313856124878,-0.00031596183544024825,0.8500000238418579,0.0,-0.15662260353565216,1,26
1728949664.1784437,-60.942562103271484,23.96018409729004,0.0017443083925172687,6.270928382873535,-1.3591288328170776,-0.00026310441899113357,0.8500000238418579,0.0,-0.12778599560260773,1,27
1728949664.2301726,-60.700950622558594,23.909645080566406,0.0017255782149732113,6.478118896484375,-1.4743854999542236,-0.00022286413877736777,0.8500000238418579,0.0,-0.10872896015644073,1,28
